Step;#Open_CVE;#Open_CPE
0;7;28
1;7;28
2;6;25
3;5;24
4;5;22
5;3;21
6;3;15
7;2;14
8;2;13
9;2;12
10;1;11
11;1;9
12;1;9
13;1;8
14;1;6
15;1;5
16;1;4
17;1;3
18;1;2
19;1;1
20;0;0
