Step;#Open_CVE;#Open_CPE
0;8;280
1;7;243
2;6;240
3;5;197
4;5;186
5;5;178
6;5;175
7;4;159
8;4;151
9;4;142
10;4;138
11;4;109
12;4;105
13;4;104
14;4;103
15;4;102
16;4;100
17;3;99
18;3;97
19;3;91
20;3;90
21;2;89
22;2;57
23;2;55
24;2;53
25;2;51
26;1;43
27;1;11
28;1;11
29;1;9
30;1;8
31;1;7
32;1;6
33;1;3
34;1;2
35;1;1
36;0;0
