Step;#Open_CVE;#Open_CPE
0;17;410
1;17;247
2;17;247
3;16;244
4;16;244
5;16;240
6;14;239
7;14;239
8;14;239
9;13;237
10;9;236
11;8;233
12;7;204
13;6;203
14;6;202
15;6;201
16;6;189
17;6;188
18;5;185
19;5;177
20;5;163
21;4;160
22;4;152
23;4;143
24;4;114
25;4;110
26;4;109
27;4;108
28;4;107
29;4;101
30;4;100
31;4;99
32;3;98
33;3;96
34;3;95
35;3;94
36;2;93
37;2;91
38;2;59
39;2;51
40;2;49
41;1;47
42;1;15
43;1;14
44;1;13
45;1;12
46;1;12
47;1;10
48;1;7
49;1;7
50;1;6
51;1;5
52;0;4
