network,scan,step,filter,aggregation,model,generation_time
merged_f1_t140,merged,140,1,3,NETSPA,0.15425839999807067
merged_f1_t140,merged,140,1,3,TVA,0.05908819998148829
merged_f1_t140,merged,140,1,3,MULTI,0.14658659999258816
merged_f1_t160,merged,160,1,3,NETSPA,0.14408909998019226
merged_f1_t160,merged,160,1,3,TVA,0.06409870000788942
merged_f1_t160,merged,160,1,3,MULTI,0.16256939998129383
merged_f1_t150,merged,150,1,3,NETSPA,0.15551979999872856
merged_f1_t150,merged,150,1,3,TVA,0.06575099998735823
merged_f1_t150,merged,150,1,3,MULTI,0.17363360000308603
merged_f1_t170,merged,170,1,0,NETSPA,0.147179599996889
merged_f1_t170,merged,170,1,0,TVA,0.32729879999533296
merged_f1_t170,merged,170,1,0,MULTI,0.3630855999945197
merged_f1_t180,merged,180,1,0,NETSPA,0.14641669997945428
merged_f1_t180,merged,180,1,0,TVA,0.34987760000512935
merged_f1_t180,merged,180,1,0,MULTI,0.3318866000045091
merged_f1_t190,merged,190,1,0,NETSPA,0.16672550002112985
merged_f1_t190,merged,190,1,0,TVA,0.36432150000473484
merged_f1_t190,merged,190,1,0,MULTI,0.3359640999988187
merged_f1_t170,merged,170,1,1,NETSPA,0.11193260000436567
merged_f1_t170,merged,170,1,1,TVA,0.23377279998385347
merged_f1_t170,merged,170,1,1,MULTI,0.16638290000264533
merged_f1_t180,merged,180,1,1,NETSPA,0.1244775999803096
merged_f1_t180,merged,180,1,1,TVA,0.2459689000097569
merged_f1_t180,merged,180,1,1,MULTI,0.1719065000070259
merged_f1_t190,merged,190,1,1,NETSPA,0.12367339999764226
merged_f1_t190,merged,190,1,1,TVA,0.24436319997766986
merged_f1_t190,merged,190,1,1,MULTI,0.164090500009479
merged_f1_t170,merged,170,1,2,NETSPA,0.19459219998680055
merged_f1_t170,merged,170,1,2,TVA,0.09776889998465776
merged_f1_t170,merged,170,1,2,MULTI,0.11248660000273958
merged_f1_t180,merged,180,1,2,NETSPA,0.1879246000025887
merged_f1_t180,merged,180,1,2,TVA,0.10521569999400526
merged_f1_t180,merged,180,1,2,MULTI,0.11868940002750605
merged_f1_t190,merged,190,1,2,NETSPA,0.18347660001018085
merged_f1_t190,merged,190,1,2,TVA,0.11085869997623377
merged_f1_t190,merged,190,1,2,MULTI,0.2898560999892652
merged_f1_t170,merged,170,1,3,NETSPA,0.23879940001643263
merged_f1_t170,merged,170,1,3,TVA,0.10654060001252219
merged_f1_t170,merged,170,1,3,MULTI,0.23463079999783076
merged_f1_t180,merged,180,1,3,NETSPA,0.24791310000000522
merged_f1_t180,merged,180,1,3,TVA,0.09251469999435358
merged_f1_t180,merged,180,1,3,MULTI,0.24627399997552857
merged_f1_t190,merged,190,1,3,NETSPA,0.09968889999436215
merged_f1_t190,merged,190,1,3,TVA,0.12883010000223294
merged_f1_t190,merged,190,1,3,MULTI,0.24187379999784753
merged_f1_t200,merged,200,1,0,NETSPA,0.19149350002408028
merged_f1_t200,merged,200,1,0,TVA,0.38657030000467785
merged_f1_t200,merged,200,1,0,MULTI,0.33209749998059124
merged_f1_t20,merged,20,1,0,NETSPA,0.2008235999965109
merged_f1_t20,merged,20,1,0,TVA,0.35887309999088757
merged_f1_t20,merged,20,1,0,MULTI,0.3571010000014212
merged_f1_t210,merged,210,1,0,NETSPA,0.18856640000012703
merged_f1_t210,merged,210,1,0,TVA,0.3803003999928478
merged_f1_t210,merged,210,1,0,MULTI,0.3355292000051122
merged_f1_t200,merged,200,1,1,NETSPA,0.2318768999830354
merged_f1_t200,merged,200,1,1,TVA,0.10771770001156256
merged_f1_t200,merged,200,1,1,MULTI,0.1341048000031151
merged_f1_t20,merged,20,1,1,NETSPA,0.22544249999918975
merged_f1_t20,merged,20,1,1,TVA,0.11281469999812543
merged_f1_t20,merged,20,1,1,MULTI,0.1344513000221923
merged_f1_t210,merged,210,1,1,NETSPA,0.18533830001251772
merged_f1_t210,merged,210,1,1,TVA,0.12039730002288707
merged_f1_t210,merged,210,1,1,MULTI,0.17415520001668483
merged_f1_t200,merged,200,1,2,NETSPA,0.16035230000852607
merged_f1_t200,merged,200,1,2,TVA,0.11743290000595152
merged_f1_t200,merged,200,1,2,MULTI,0.2666996000043582
merged_f1_t210,merged,210,1,2,NETSPA,0.22642699998687021
merged_f1_t210,merged,210,1,2,TVA,0.07742469999357127
merged_f1_t210,merged,210,1,2,MULTI,0.22216479998314753
merged_f1_t20,merged,20,1,2,NETSPA,0.3127016000216827
merged_f1_t20,merged,20,1,2,TVA,0.09763740000198595
merged_f1_t20,merged,20,1,2,MULTI,0.2301259000087157
merged_f1_t200,merged,200,1,3,NETSPA,0.09453020000364631
merged_f1_t200,merged,200,1,3,TVA,0.09781720000319183
merged_f1_t200,merged,200,1,3,MULTI,0.20506680000107735
merged_f1_t210,merged,210,1,3,NETSPA,0.08685600000899285
merged_f1_t210,merged,210,1,3,TVA,0.0849439000012353
merged_f1_t210,merged,210,1,3,MULTI,0.18883559998357669
merged_f1_t20,merged,20,1,3,NETSPA,0.0854471999919042
merged_f1_t20,merged,20,1,3,TVA,0.07530259998748079
merged_f1_t20,merged,20,1,3,MULTI,0.21589639998273924
merged_f1_t220,merged,220,1,0,NETSPA,0.16825649997917935
merged_f1_t220,merged,220,1,0,TVA,0.3270073999883607
merged_f1_t220,merged,220,1,0,MULTI,0.28066439999383874
merged_f1_t230,merged,230,1,0,NETSPA,0.16311540000606328
merged_f1_t230,merged,230,1,0,TVA,0.31255390000296757
merged_f1_t230,merged,230,1,0,MULTI,0.33877830000710674
merged_f1_t240,merged,240,1,0,NETSPA,0.19630499999038875
merged_f1_t240,merged,240,1,0,TVA,0.311832500010496
merged_f1_t240,merged,240,1,0,MULTI,0.2781183999904897
merged_f1_t220,merged,220,1,1,NETSPA,0.21088190001319163
merged_f1_t220,merged,220,1,1,TVA,0.10507439999491908
merged_f1_t220,merged,220,1,1,MULTI,0.26408799999626353
merged_f1_t240,merged,240,1,1,NETSPA,0.2368830000050366
merged_f1_t240,merged,240,1,1,TVA,0.14161319998675026
merged_f1_t240,merged,240,1,1,MULTI,0.14167139999335632
